dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
phoneme,1,100,0.6262304490726213,0.7209151568203214,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.0946847077477001
phoneme,1,250,0.7317724247278974,0.6986163641468611,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.03315606058103626
phoneme,1,500,0.7409677605826879,0.7685207359571903,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.02755297537450241
phoneme,1,50,0.6844207805506466,0.7115980147653889,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.027177234214742274
phoneme,2,100,0.7567736634350175,0.6985317191603218,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.058241944274695756
phoneme,2,250,0.7115030472195154,0.7271582407055676,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.015655193486052155
phoneme,2,500,0.7145915569722695,0.7717599550762217,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.057168398103952245
phoneme,2,50,0.7092713098914893,0.6459960856855005,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06327522420598886
satimage,0,100,0.5591480592106741,0.7787667553455284,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.2196186961348543
satimage,0,250,0.6983637669512487,0.8206572851808248,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.12229351822957613
satimage,0,500,0.7355629335088038,0.8258329684368547,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.09027003492805097
satimage,0,50,0.5593111115295578,0.7967520429171585,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.2374409313876007
satimage,1,100,0.6152154402269655,0.8209150562233104,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.2056996159963449
satimage,1,250,0.6943140825631718,0.8420689624841419,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.14775487992097003
satimage,1,500,0.7468333484836173,0.8570313679909641,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.11019801950734687
satimage,1,50,0.5543407057167323,0.7645880330622661,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.21024732734553375
satimage,2,100,0.662786297987335,0.8248955597420385,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.16210926175470353
satimage,2,250,0.7437679743812499,0.8316228421845976,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.08785486780334772
satimage,2,500,0.7520152899028901,0.834989512678794,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.08297422277590383
satimage,2,50,0.6709725241815021,0.8018184751096048,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.1308459509281027
segment,0,100,0.6926406926406926,0.8441558441558442,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.1515151515151516
segment,0,250,0.7727272727272727,0.8939393939393938,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.1212121212121211
segment,0,500,0.8939393939393938,0.9134199134199134,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.019480519480519543
segment,0,50,0.6926406926406926,0.8051948051948052,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.11255411255411263
segment,1,100,0.6450216450216449,0.79004329004329,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.14502164502164505
segment,1,250,0.79004329004329,0.8787878787878788,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.08874458874458879
segment,1,500,0.8852813852813852,0.9069264069264068,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.021645021645021578
segment,1,50,0.5909090909090909,0.7229437229437229,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.13203463203463195
segment,2,100,0.5844155844155845,0.8311688311688311,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.2467532467532466
segment,2,250,0.829004329004329,0.8939393939393938,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.06493506493506485
segment,2,500,0.8766233766233766,0.8917748917748918,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.015151515151515138
segment,2,50,0.6038961038961039,0.7489177489177489,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.14502164502164494
spambase,0,250,0.9084318255872508,0.8402426019728073,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06818922361444346
spambase,0,500,0.9180885097307384,0.8403907106253148,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.07769779910542363
spambase,1,100,0.8683536242187269,0.8289271009212358,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.03942652329749108
spambase,1,250,0.9044477028347996,0.8373692941141622,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06707840872063742
spambase,1,500,0.917740454397346,0.8274608252614117,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.09027962913593424
spambase,2,100,0.87633668058888,0.6640969815456619,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.21223969904321816
spambase,2,250,0.9004487692170977,0.7752525252525253,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.1251962439645724
spambase,2,500,0.8985233567345005,0.8345330134186439,laplacian_ssl,label_spreading,metric_balanced_accuracy,0.06399034331585651
steel-plates-fault,0,100,0.267032967032967,0.6212172545035953,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.35418428747062836
steel-plates-fault,0,250,0.3034459367792701,0.6834222278927793,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.37997629111350917
steel-plates-fault,0,500,0.4933783634911454,0.7056291174712228,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.21225075398007742
steel-plates-fault,0,50,0.2649165649165649,0.6045909215865356,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.3396743566699707
steel-plates-fault,1,100,0.2612806946140279,0.6082768149654115,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.3469961203513836
steel-plates-fault,1,250,0.295690793936408,0.6566095778815078,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.36091878394509974
steel-plates-fault,1,500,0.3872437504016451,0.6868225707041496,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.29957882030250454
steel-plates-fault,1,50,0.231718898385565,0.6257765301624951,laplacian_ssl,label_spreading,metric_balanced_accuracy,-0.3940576317769301
