dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
bank-marketing,1,100,0.6387669223840069,0.6387669223840069,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,1,250,0.6190608454178617,0.6190608454178617,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,1,500,0.6449458045745035,0.6449458045745035,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,1,50,0.620233116677892,0.620233116677892,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,2,100,0.6543704938252608,0.6543704938252608,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
bank-marketing,2,250,0.6639014196041018,0.6533047550167908,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.010596664587311011
bank-marketing,2,500,0.6526785809403974,0.6566188020307453,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.003940221090347862
bank-marketing,2,50,0.5947861242665538,0.5947861242665538,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,0,100,0.6933665282658571,0.6974614946091455,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.004094966343288431
electricity,0,250,0.7585600369157417,0.7659803102756123,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0074202733598706105
electricity,0,500,0.7793715104956715,0.7860790578911384,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.006707547395466862
electricity,0,50,0.7198397444202813,0.7198397444202813,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,1,100,0.7268598397793029,0.7268598397793029,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,1,250,0.7620228062342156,0.7620228062342156,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,1,500,0.7631369310899512,0.7631369310899512,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,1,50,0.619917632249847,0.619917632249847,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,2,100,0.7325343892457986,0.7280824494750668,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.004451939770731772
electricity,2,250,0.7494226184662427,0.7494226184662427,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
electricity,2,500,0.7670437058859878,0.76673340037434,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0003103055116477904
electricity,2,50,0.6921837843817709,0.6921837843817709,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,0,100,0.7524464465621749,0.7524464465621749,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,0,250,0.7839736072802946,0.7839736072802946,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,0,500,0.7831354154623681,0.7831354154623681,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,0,50,0.6930132789403274,0.6930132789403274,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,1,100,0.7433832394668605,0.7433832394668605,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,1,250,0.7839075429005566,0.794294102102499,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.010386559201942314
phoneme,1,500,0.7954522932597816,0.7954522932597816,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,1,50,0.7420227261466299,0.7420227261466299,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,2,100,0.776656977224305,0.776656977224305,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,2,250,0.787448180752143,0.787448180752143,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,2,500,0.7993789948304623,0.7993789948304623,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
phoneme,2,50,0.7539205080350802,0.7539205080350802,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,0,100,0.8146906682031702,0.8146906682031702,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,0,250,0.8065722356653593,0.8074365177222985,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0008642820569392251
satimage,0,500,0.8459685917763067,0.8443023568358116,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0016662349404951149
satimage,0,50,0.8046199195634727,0.8046199195634727,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,1,100,0.8131036490380762,0.8131036490380762,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,1,250,0.8186285592229007,0.8186285592229007,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,1,500,0.8776896642857358,0.8765305696963398,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0011590945893960036
satimage,1,50,0.7411433308290762,0.7411433308290762,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,2,100,0.7973359775152454,0.7973359775152454,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,2,250,0.839197074299316,0.839197074299316,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
satimage,2,500,0.8420433887050981,0.845369648993923,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.0033262602888248782
satimage,2,50,0.7542277223196052,0.7542277223196052,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,0,100,0.917748917748918,0.917748917748918,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,0,250,0.9437229437229436,0.9437229437229436,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,0,500,0.9653679653679652,0.9653679653679652,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,0,50,0.8917748917748918,0.8917748917748918,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,1,100,0.9090909090909092,0.9090909090909092,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,1,250,0.9502164502164504,0.9502164502164502,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,2.220446049250313e-16
segment,1,500,0.9610389610389608,0.9610389610389608,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,1,50,0.9025974025974026,0.9025974025974026,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,2,100,0.9285714285714286,0.9285714285714286,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,2,250,0.9761904761904764,0.9761904761904764,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,2,500,0.9761904761904764,0.9761904761904764,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
segment,2,50,0.8809523809523808,0.8809523809523808,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,0,100,0.9016780710329098,0.9016780710329098,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,0,250,0.9378536094078616,0.9378536094078616,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,0,500,0.9372389584999556,0.9372389584999556,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,0,50,0.897545839627951,0.897545839627951,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,1,100,0.895701886904233,0.895701886904233,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,1,250,0.92119138600077,0.92119138600077,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,1,500,0.9426153025859773,0.9426153025859773,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,1,50,0.8785434995112414,0.8785434995112414,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,2,100,0.9216579282561688,0.9216579282561688,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,2,250,0.9258049705263782,0.9258049705263782,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,2,500,0.9384830711810184,0.9384830711810184,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
spambase,2,50,0.8554903877484523,0.8375174027666696,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.01797298498178268
steel-plates-fault,0,100,0.7595685828141968,0.7270328274714241,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.032535755342772754
steel-plates-fault,0,250,0.7671407945530753,0.7810653365477928,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.013924541994717488
steel-plates-fault,0,500,0.809839689225654,0.809839689225654,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
steel-plates-fault,0,50,0.6481979318602126,0.6481979318602126,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
steel-plates-fault,1,100,0.6216945294796172,0.5836557488969769,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.03803878058264032
steel-plates-fault,1,250,0.7441430401956718,0.7441430401956718,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
steel-plates-fault,1,500,0.765220800966415,0.7581661272450747,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.007054673721340277
steel-plates-fault,1,50,0.5965410442384126,0.5729374751304576,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.023603569107955025
steel-plates-fault,2,100,0.6883905278328838,0.6883905278328838,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
steel-plates-fault,2,250,0.7622679742980495,0.7611563544364296,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0011116198616198947
steel-plates-fault,2,500,0.760120471054055,0.76952244821919,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,-0.009401977165135023
steel-plates-fault,2,50,0.6274082149865359,0.6274082149865359,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
adult,0,100,0.7327630050470604,0.7327630050470604,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
adult,0,250,0.75248338319612,0.7474562381091672,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.005027145086952789
adult,0,500,0.7513797020987727,0.74337310729484,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.008006594803932732
adult,0,50,0.672293914967228,0.672293914967228,tabiclv2_self_training,tabiclv2,metric_balanced_accuracy,0.0
