dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
bank-marketing,1,250,0.5,0.668192724307036,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.16819272430703602
bank-marketing,1,500,0.555459669773074,0.6612219508932746,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.10576228112020059
bank-marketing,1,50,0.5,0.5,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.0
bank-marketing,2,100,0.5,0.6614618264633711,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.16146182646337115
bank-marketing,2,250,0.557350028941316,0.7394145213201028,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.18206449237878675
bank-marketing,2,500,0.6267711907842327,0.6746376417029567,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.04786645091872399
bank-marketing,2,50,0.5,0.5,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.0
electricity,0,100,0.6818347193347194,0.5,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.1818347193347194
electricity,0,250,0.6644090491405927,0.7050928325257184,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.04068378338512568
electricity,0,500,0.7503876950185675,0.7256830757669683,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,0.02470461925159917
electricity,0,50,0.5246919120241268,0.6437749036742326,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.11908299165010583
electricity,1,100,0.5271089761861574,0.7232722157218802,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.1961632395357228
electricity,1,250,0.7070418969747829,0.7340926192436259,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.027050722268842975
electricity,1,500,0.7288561701313379,0.7327373311433714,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.003881161012033507
electricity,1,50,0.6331128920055094,0.6709278070016325,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.037814914996123106
electricity,2,100,0.6788563196281316,0.7111955408096348,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.03233922118150312
electricity,2,250,0.7110101897014649,0.7225938491039162,geometric_attention_ssl,unlabeled_attention_ssl,metric_balanced_accuracy,-0.011583659402451318
