dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
satimage,unlabeled_attention_ssl,50,0.71850699844479,0.05724250185934598,3,0.5777354091279882,0.08721712945342759,3,0.5099663665340056,0.1007264348619618,3,0.5099663665340056,0.1007264348619618,3,0.9283521026469623,0.01581799468544311,3,,,0,1.3471250237319055,0.02608273741783136,3,3.3267333333333333,0.13119681144499434,3,3,3,0,1.0,True,2.0,
satimage,geometric_attention_ssl,50,0.6324520476931053,0.08734249804809043,3,0.5406836898313698,0.06802396486640641,3,0.47480552940426857,0.08027130367914946,3,0.47480552940426857,0.08027130367914946,3,0.9057205147658935,0.024037140822490106,3,,,0,1.4112196234799061,0.04849686682547366,3,5.624466666666667,0.7869001037827694,3,3,3,0,1.0,True,3.0,
satimage,unlabeled_attention_ssl,100,0.7858994297563505,0.021526225709688505,3,0.6845346567572622,0.038753398604122476,3,0.6502584603579872,0.04573244540317187,3,0.6502584603579872,0.04573244540317187,3,0.939974556758944,0.00997285248231637,3,,,0,0.8126196334779715,0.07454094217178453,3,3.3982666666666668,0.3672076569644665,3,3,3,0,1.0,True,1.0,
satimage,embedding_alignment_ssl,100,0.7558320373250389,0.017578000863852764,3,0.6640714050096513,0.025410857857190276,3,0.626789099109653,0.030389074547998392,3,0.626789099109653,0.030389074547998392,3,0.9543070231857045,0.0031184858849417256,3,,,0,0.7330505896860685,0.03736638135444297,3,3.5013666666666663,0.2895959656717155,3,3,3,0,1.0,True,2.0,
satimage,geometric_attention_ssl,100,0.6868843960601348,0.05616727104523313,3,0.5859187856407164,0.04596940387867049,3,0.5302674135562603,0.05129674587314843,3,0.5302674135562603,0.05129674587314843,3,0.9148450268545222,0.029087380761435837,3,,,0,0.9475355037627589,0.05878442961917445,3,6.077466666666666,0.715160823405011,3,3,3,0,1.0,True,3.0,
satimage,unlabeled_attention_ssl,250,0.8128564022809747,0.02557047683802703,3,0.750124335316666,0.024451311598515435,3,0.7398623800425607,0.03114159045135002,3,0.7398623800425607,0.03114159045135002,3,0.9491465136753369,0.010773997984154479,3,,,0,0.5879659011163817,0.0841142073466627,3,3.950066666666667,0.07321648266157937,3,3,3,0,1.0,True,1.0,
satimage,geometric_attention_ssl,250,0.8089683773976154,0.01508500210155669,3,0.7201577573139839,0.02927303695403525,3,0.7020646501806308,0.0370092140700221,3,0.7020646501806308,0.0370092140700221,3,0.9563471877573808,0.0029609314024631886,3,,,0,0.5368108753610871,0.031225183244018347,3,7.9876000000000005,0.08811293889094872,3,3,3,0,1.0,True,2.0,
satimage,embedding_alignment_ssl,250,0.7669777086573354,0.00448950442604687,3,0.6808362949130058,0.004028604377954967,3,0.6453987975984364,0.0024250316849824824,3,0.6453987975984364,0.0024250316849824824,3,0.955027638611968,0.002832049134082682,3,,,0,0.729427872351188,0.036855860082977615,3,3.5899666666666668,0.2880896793245695,3,3,3,0,1.0,True,3.0,
satimage,unlabeled_attention_ssl,500,0.8434421980300675,0.003506415048851391,3,0.8089412016725411,0.011028578156094395,3,0.8112414855297981,0.007570887253235836,3,0.8112414855297981,0.007570887253235836,3,0.9613479116814085,0.0034368523099138283,3,,,0,0.5645335190358507,0.03344451430562059,3,4.438933333333334,0.38468014418908225,3,3,3,0,1.0,True,1.0,
satimage,geometric_attention_ssl,500,0.8240020736132712,0.00921169292064113,3,0.7584784866943547,0.016543370635904026,3,0.7532911308736424,0.016722217977988528,3,0.7532911308736424,0.016722217977988528,3,0.9659909862658114,0.00353401415699097,3,,,0,0.46375554535336283,0.04191195061964678,3,10.228666666666667,0.9886694155951905,3,3,3,0,1.0,True,2.0,
satimage,embedding_alignment_ssl,500,0.7573872472783826,0.012729942102445452,3,0.6679852005240005,0.016302193320276916,3,0.631283514730621,0.016264980581163116,3,0.631283514730621,0.016264980581163116,3,0.9549703829261565,0.003087726130093997,3,,,0,0.7283639141796816,0.03169097841492621,3,3.6048333333333336,0.21776736057851592,3,3,3,0,1.0,True,3.0,
segment,unlabeled_attention_ssl,50,0.6435786435786436,0.019400187099204554,3,0.6435786435786436,0.019400187099204633,3,0.5837449342928213,0.03145216325648355,3,0.5837449342928213,0.03145216325648355,3,0.9215969215969216,0.0313032029521212,3,,,0,1.598109217578987,0.033403839383656694,3,3.587066666666667,0.12534661277167913,3,3,3,0,1.0,True,1.0,
segment,embedding_alignment_ssl,50,0.6240981240981242,0.04022326079297644,3,0.6240981240981242,0.04022326079297644,3,0.558114801750575,0.05800128010465574,3,0.558114801750575,0.05800128010465574,3,0.9284110950777618,0.012806984621957758,3,,,0,1.2431405670064255,0.07741105984656879,3,3.333,0.0437125840004913,3,3,3,0,1.0,True,2.0,
segment,geometric_attention_ssl,50,0.5086580086580086,0.12912847392445595,3,0.5086580086580086,0.12912847392445584,3,0.43143486108038753,0.11980413439087195,3,0.43143486108038753,0.11980413439087195,3,0.8561517046365531,0.034754504976318566,3,,,0,1.7420847121324627,0.0071648261712688194,3,4.669766666666667,0.5182309362951361,3,3,3,0,1.0,True,3.0,
segment,unlabeled_attention_ssl,100,0.7041847041847041,0.08914841426307916,3,0.7041847041847041,0.08914841426307915,3,0.6672774646120881,0.11026043908427517,3,0.6672774646120881,0.11026043908427517,3,0.9623853979914586,0.007780378184622308,3,,,0,1.0928739392100149,0.09489284821710023,3,3.6206,0.17302401567412534,3,3,3,0,1.0,True,1.0,
