dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
phoneme,1489,random_forest,50,0.7483811285846439,,1,0.6051228797463127,,1,0.6092784929890397,,1,0.6092784929890397,,1,0.7865872793036813,,1,0.5909214029560469,,1,0.5061276784279808,,1,1.6085,,1,,,0,,,0
phoneme,1489,random_forest,100,0.7567067530064755,,1,0.6534634251077676,,1,0.6665916124575915,,1,0.6665916124575915,,1,0.818461278015426,,1,0.5775974185412389,,1,0.4698327016587243,,1,1.4581,,1,,,0,,,0
phoneme,1489,random_forest,250,0.7955596669750231,,1,0.7261693395213635,,1,0.7381978575929427,,1,0.7381978575929427,,1,0.8739347118767239,,1,0.6870838004049444,,1,0.4003337490472626,,1,2.2346,,1,,,0,,,0
phoneme,1489,random_forest,500,0.8390379278445883,,1,0.7883049531768709,,1,0.7984712900820283,,1,0.7984712900820283,,1,0.9004884635076882,,1,0.756293110045112,,1,0.3644454868644062,,1,8.1913,,1,,,0,,,0
phoneme,1489,rpl_lite_xgboost,50,0.7474560592044404,,1,0.6801410474507408,,1,0.6854345895853697,,1,0.6854345895853697,,1,0.7610079772738534,,1,0.5492796653158916,,1,1.074411392211914,,1,29.9337,,1,1809.0,,1,0.4233559560028083,,1
phoneme,1489,rpl_lite_xgboost,100,0.7668825161887142,,1,0.729875138322295,,1,0.7247340425531915,,1,0.7247340425531915,,1,0.8213226914628305,,1,0.5868428931701175,,1,0.872585654258728,,1,19.1307,,1,2013.0,,1,0.4766753492777646,,1
phoneme,1489,rpl_lite_xgboost,250,0.7853839037927844,,1,0.7577295324293525,,1,0.7491176823656516,,1,0.7491176823656516,,1,0.8528395296216162,,1,0.6526391391636259,,1,0.75687575340271,,1,11.3423,,1,1989.0,,1,0.4883378345200098,,1
phoneme,1489,rpl_lite_xgboost,500,0.8149861239592969,,1,0.774057756783986,,1,0.7755752829702953,,1,0.7755752829702953,,1,0.8846887541909589,,1,0.735415553149272,,1,0.5428240299224854,,1,13.7186,,1,1867.0,,1,0.4883599267590897,,1
phoneme,1489,rpl_lr,50,0.7058279370952821,,1,0.5085739177828794,,1,0.4424147461849891,,1,0.4424147461849891,,1,0.7249616000792773,,1,0.4964536924138139,,1,1.8068393468856807,,1,0.3402,,1,,,0,,,0
phoneme,1489,rpl_lr,100,0.7548566142460684,,1,0.6743026078913902,,1,0.6839589283960914,,1,0.6839589283960914,,1,0.7915008175466992,,1,0.5518381916004673,,1,1.2010596990585327,,1,0.3064,,1,,,0,,,0
