method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
rpl_lite_xgboost,250,0.7924689598774248,0.10032140257019265,30,0.7489566519752232,0.12896638700015223,30,0.745553937312382,0.13205757066222826,30,0.745553937312382,0.13205757066222826,30,0.8768612884086601,0.079238641319972,30,0.7145333971103724,0.17218675187334792,18,0.7433616240819295,0.42169837305034585,30,21.40206,13.405682346460656,30,2384.3333333333335,1121.9574438217908,30,0.29509300220349,0.1999357526494117,30
rpl_lite_xgboost,500,0.8205133103676665,0.09732492540859619,30,0.7735681744368105,0.13218470520732703,30,0.7749508891795414,0.1335005692524879,30,0.7749508891795414,0.1335005692524879,30,0.899235335445462,0.07241283228170921,30,0.7575598031740599,0.16095242573189844,18,0.5918986906607946,0.3680419880721517,30,23.992653333333333,15.597431576644016,30,2335.266666666667,1177.5769374771912,30,0.29601227449508016,0.19922429005296735,30
rpl_lr,50,0.7281583313306136,0.12287269012295193,30,0.643391543995994,0.13368146062049344,30,0.6397201112713932,0.1377200319431363,30,0.6397201112713932,0.1377200319431363,30,0.8204529768198576,0.10287921309632427,30,0.6120119104561376,0.1778141101799287,18,2.1738804350296657,1.6903099573225582,30,0.92113,0.7014586202802824,30,,,0,,,0
rpl_lr,100,0.7540035736197808,0.12479851526760034,30,0.6838801622112972,0.13565953606663073,30,0.6826991586255517,0.13905669643563653,30,0.6826991586255517,0.13905669643563653,30,0.8416516751937747,0.09643021102584541,30,0.6564280870360104,0.1697525700830143,18,1.8605275213718415,1.7086830003560267,30,0.95701,0.80444006242509,30,,,0,,,0
rpl_lr,250,0.7749059981895509,0.12301753005546572,30,0.7013037538727952,0.14748181368542806,30,0.7041969347842351,0.14862287442420277,30,0.7041969347842351,0.14862287442420277,30,0.8600753720529047,0.09640514913400147,30,0.6918586976375228,0.15380818770402352,18,1.427289049824079,1.5569040532596123,30,1.1342766666666668,0.851808024220503,30,,,0,,,0
rpl_lr,500,0.7873270775105621,0.11225147841695322,30,0.7099738787432555,0.1425301335970161,30,0.7177883309811902,0.14143920435260568,30,0.7177883309811902,0.14143920435260568,30,0.8746524031870094,0.08442995418504923,30,0.704859857366826,0.1556774729300502,18,1.0821334650119145,1.0979194269973354,30,1.27134,0.8459397404967591,30,,,0,,,0
scarf,50,0.7250496773089796,0.13690494145174056,30,0.6298530272417255,0.16645781204830384,30,0.6259165621775509,0.17288647830196935,30,0.6259165621775509,0.17288647830196935,30,0.8088076171003348,0.11075155502330597,30,0.6134239728978553,0.21254243058965147,18,0.725495017315571,0.34045447305700716,30,188.03065333333333,203.7811631975268,30,,,0,,,0
scarf,100,0.7632138356860422,0.12057448122253714,30,0.6897299446415632,0.1498350976084593,30,0.6882406064369438,0.1556850848175357,30,0.6882406064369438,0.1556850848175357,30,0.8332738603816097,0.10834107431012815,30,0.6440667041912185,0.20976114494754483,18,0.6530150393608137,0.27543665926884364,30,176.25184666666667,189.88484367379766,30,,,0,,,0
scarf,250,0.7864637990714722,0.11597882390337966,30,0.7033474470862948,0.16099923426623808,30,0.7084192082564119,0.16135556713529753,30,0.7084192082564119,0.16135556713529753,30,0.8679850975190809,0.08391059163282044,30,0.6986160138263724,0.17495602836853916,18,0.5281807187039631,0.26412704166596407,30,178.76476999999997,194.4506473360611,30,,,0,,,0
scarf,500,0.8009036841508298,0.10470452420716003,30,0.7268525423869394,0.14766144335529605,30,0.7337254852512264,0.14584084398686287,30,0.7337254852512264,0.14584084398686287,30,0.8864761231441858,0.0786822287003368,30,0.724882510899901,0.15688343087610887,18,0.4734525479411715,0.230382281328219,30,166.29693333333336,175.86739427439767,30,,,0,,,0
