dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
phoneme,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,2.561033333333333,1.626518322470833,3
phoneme,self_training_catboost,250,0.1747278828054668,0.016301321128604707,3,711.6666666666666,66.39528095680697,3,5.728633333333334,2.5308257651077706,3
phoneme,self_training_catboost,500,0.1961810096782631,0.0,3,750.0,0.0,3,5.666033333333334,1.2951821351969512,3
phoneme,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,0.3075333333333334,0.15320709296025864,3
phoneme,self_training_lightgbm,100,0.4825163785618439,0.005575250891596932,3,2037.6666666666667,23.54428451521374,3,7.166033333333334,2.098898173645719,3
phoneme,self_training_lightgbm,250,0.4883378345200098,0.0,3,1989.0,0.0,3,15.2281,6.707845016844083,3
phoneme,self_training_lightgbm,500,0.4883599267590897,0.0,3,1867.0,0.0,3,13.688266666666665,3.4801230097991263,3
phoneme,self_training_lr,50,0.4983228020906467,0.0027023181333472035,3,2129.3333333333335,11.547005383792483,3,0.17056666666666667,0.04192282592256077,3
phoneme,self_training_lr,100,0.4998816007577552,0.0,3,2111.0,0.0,3,0.1612,0.02345975276937077,3
phoneme,self_training_lr,250,0.45028234716425236,0.01810361296913897,3,1834.0,73.7360156233031,3,0.15073333333333336,0.023513046024140165,3
phoneme,self_training_lr,500,0.3902694219199581,0.016945921356783192,3,1492.0,64.78425734698207,3,0.18610000000000002,0.09116929307612294,3
phoneme,self_training_xgboost,50,0.4402059443014275,0.05401679797605329,3,1881.0,230.81377775167581,3,5.983433333333333,3.488164142257834,3
phoneme,self_training_xgboost,100,0.4740705659483779,0.013553481431450838,3,2002.0,57.23635208501674,3,5.830099999999999,0.4348529521573929,3
phoneme,self_training_xgboost,250,0.4851460839675914,0.005528274121874633,3,1976.0,22.516660498395403,3,9.143466666666667,2.312708231345522,3
phoneme,self_training_xgboost,500,0.4883599267590897,0.0,3,1867.0,0.0,3,7.6295,0.38277842154437036,3
satimage,rpl_lite_xgboost,50,0.48802512760109923,0.0,3,2486.0,0.0,3,14.473066666666668,1.5849652372633714,3
satimage,rpl_lite_xgboost,100,0.4881046788263283,0.0,3,2462.0,0.0,3,15.182899999999998,1.6328083659756287,3
satimage,rpl_lite_xgboost,250,0.4881487535758071,0.0,3,2389.0,0.0,3,18.12046666666667,0.40595715701700946,3
satimage,rpl_lite_xgboost,500,0.4881567614125753,0.0,3,2267.0,0.0,3,21.74406666666667,2.1655840259231076,3
satimage,rpl_lr,50,,,0,,,0,1.0270666666666666,0.37658999367127827,3
satimage,rpl_lr,100,,,0,,,0,1.0437333333333332,0.2766370968133763,3
satimage,rpl_lr,250,,,0,,,0,1.5202666666666669,0.382417276457711,3
satimage,rpl_lr,500,,,0,,,0,1.6981333333333335,0.5158074963911765,3
satimage,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,2.1248666666666667,0.4506288531966559,3
satimage,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,3.8449666666666666,0.24480535805683112,3
satimage,self_training_catboost,250,0.12321209644462604,0.05969707637404094,3,603.0,292.15749177455643,3,9.502633333333334,0.32387606168615385,3
satimage,self_training_catboost,500,0.23815676141257533,0.06304915444098108,3,1106.0,292.80027322391624,3,10.063366666666667,0.40091866174242013,3
satimage,self_training_lightgbm,50,0.1549535401125507,0.26838740428759983,3,789.3333333333334,1367.1654374410339,3,7.0948666666666655,10.214742402201503,3
satimage,self_training_lightgbm,100,0.4881046788263283,0.0,3,2462.0,0.0,3,24.1467,4.146462503146509,3
satimage,self_training_lightgbm,250,0.4881487535758071,0.0,3,2389.0,0.0,3,31.551066666666667,6.62519527058134,3
satimage,self_training_lightgbm,500,0.4881567614125753,0.0,3,2267.0,0.0,3,35.735,5.435610640949182,3
satimage,self_training_lr,50,0.5,0.0,3,2547.0,0.0,3,0.8265666666666668,0.14860542834409965,3
satimage,self_training_lr,100,0.5,0.0,3,2522.0,0.0,3,0.7421000000000001,0.04759338189286409,3
satimage,self_training_lr,250,0.5,0.0,3,2447.0,0.0,3,0.9228666666666667,0.035474122023431885,3
satimage,self_training_lr,500,0.5,0.0,3,2322.0,0.0,3,1.1285666666666667,0.3127269469254822,3
satimage,self_training_xgboost,50,0.42010208087946604,0.0143896251152775,3,2140.0,73.3007503372237,3,12.6456,1.505493284608072,3
satimage,self_training_xgboost,100,0.4881046788263283,0.0,3,2462.0,0.0,3,14.670633333333333,0.3917093990872995,3
satimage,self_training_xgboost,250,0.4881487535758071,0.0,3,2389.0,0.0,3,17.675833333333333,0.7840655414780917,3
satimage,self_training_xgboost,500,0.4881567614125753,0.0,3,2267.0,0.0,3,21.8035,0.4041265148440511,3
segment,rpl_lite_xgboost,50,0.4883203559510567,0.0,3,878.0,0.0,3,17.018966666666667,2.1299354739835032,3
segment,rpl_lite_xgboost,100,0.488558352402746,0.0,3,854.0,0.0,3,18.3546,2.44501438032581,3
segment,rpl_lite_xgboost,250,0.4887359198998748,0.0,3,781.0,0.0,3,21.29756666666667,0.7390291627083019,3
segment,rpl_lite_xgboost,500,0.4888724035608308,0.0,3,659.0,0.0,3,24.2191,1.3479540496619313,3
segment,rpl_lr,50,,,0,,,0,0.27003333333333335,0.039797529236540945,3
segment,rpl_lr,100,,,0,,,0,0.2818333333333333,0.04631094183163773,3
segment,rpl_lr,250,,,0,,,0,0.3239666666666667,0.0630921812377202,3
segment,rpl_lr,500,,,0,,,0,0.3212333333333333,0.0514005188041262,3
segment,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,2.164733333333333,0.1266959483698407,3
segment,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,4.740333333333333,1.719419740300004,3
segment,self_training_catboost,250,0.010846891948268668,0.018787367958611096,3,17.333333333333332,30.022213997860543,3,9.508033333333332,3.543272139327338,3
segment,self_training_catboost,500,0.2467853610286844,0.060159195081533674,3,332.6666666666667,81.09459496990742,3,16.3499,0.8668879223982751,3
segment,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,1.5843,0.8971345272588721,3
segment,self_training_lightgbm,100,0.488558352402746,0.0,3,854.0,0.0,3,24.7367,2.8917847793361107,3
segment,self_training_lightgbm,250,0.4887359198998748,0.0,3,781.0,0.0,3,29.184866666666665,4.0030357284607545,3
segment,self_training_lightgbm,500,0.4888724035608308,0.0,3,659.0,0.0,3,34.3737,5.201468330192927,3
segment,self_training_lr,50,0.335558027437894,0.012564270578314725,3,603.3333333333334,22.590558499809912,3,0.26816666666666666,0.07129420266286267,3
segment,self_training_lr,100,0.3680396643783371,0.036115272619863026,3,643.3333333333334,63.1294965395205,3,0.34783333333333327,0.015327861342448682,3
segment,self_training_lr,250,0.4858156028368794,0.013513612295991299,3,776.3333333333334,21.594752448994036,3,0.4010666666666667,0.08651279288829679,3
segment,self_training_lr,500,0.4920870425321464,0.013705644372454024,3,663.3333333333334,18.47520861406804,3,0.46723333333333333,0.1422415316752928,3
segment,self_training_xgboost,50,0.21486837226548014,0.08012824502370357,3,386.3333333333333,144.07058455261898,3,12.052833333333332,1.082174627004965,3
segment,self_training_xgboost,100,0.488558352402746,0.0,3,854.0,0.0,3,16.91143333333333,1.7669115324014766,3
segment,self_training_xgboost,250,0.4887359198998748,0.0,3,781.0,0.0,3,17.243466666666666,2.495040581500295,3
segment,self_training_xgboost,500,0.4888724035608308,0.0,3,659.0,0.0,3,20.497866666666667,1.4669288746675266,3
spambase,rpl_lite_xgboost,50,0.48815426997245187,0.0,3,1772.0,0.0,3,4.046166666666667,1.85258615004359,3
spambase,rpl_lite_xgboost,100,0.488268156424581,0.0,3,1748.0,0.0,3,6.536733333333333,0.3591232982324221,3
spambase,rpl_lite_xgboost,250,0.4880466472303207,0.0,3,1674.0,0.0,3,7.336366666666667,0.2711048567129211,3
spambase,rpl_lite_xgboost,500,0.48805031446540886,0.0,3,1552.0,0.0,3,7.865333333333333,0.462894764858421,3
spambase,rpl_lr,50,,,0,,,0,0.47783333333333333,0.30468215132057436,3
spambase,rpl_lr,100,,,0,,,0,0.39419999999999994,0.12262740313649312,3
spambase,rpl_lr,250,,,0,,,0,0.5605666666666667,0.2602992956835138,3
spambase,rpl_lr,500,,,0,,,0,1.1235000000000002,0.4520680922162059,3
spambase,self_training_catboost,50,0.37061524334251605,0.010776714907925585,3,1345.3333333333333,39.119475115769816,3,7.861766666666667,0.8136451888466697,3
spambase,self_training_catboost,100,0.4000000000000001,0.0,3,1432.0,0.0,3,6.481966666666666,0.3981876986213077,3
spambase,self_training_catboost,250,0.4000000000000001,0.0,3,1372.0,0.0,3,8.0407,0.851598960779074,3
spambase,self_training_catboost,500,0.4000000000000001,0.0,3,1272.0,0.0,3,9.429766666666668,0.46749400352660436,3
spambase,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,0.9531666666666666,0.677527536955756,3
spambase,self_training_lightgbm,100,0.488268156424581,0.0,3,1748.0,0.0,3,12.478200000000001,2.089050255498895,3
spambase,self_training_lightgbm,250,0.4880466472303207,0.0,3,1674.0,0.0,3,13.785866666666669,0.46564299987579866,3
spambase,self_training_lightgbm,500,0.48805031446540886,0.0,3,1552.0,0.0,3,17.100533333333335,1.7130009525196788,3
spambase,self_training_lr,50,0.5,0.0,3,1815.0,0.0,3,0.29716666666666663,0.022989200363069038,3
spambase,self_training_lr,100,0.5,0.0,3,1790.0,0.0,3,0.37473333333333336,0.06645339218830992,3
spambase,self_training_lr,250,0.5,0.0,3,1715.0,0.0,3,0.3169,0.010376897416858296,3
spambase,self_training_lr,500,0.5,0.0,3,1590.0,0.0,3,0.34073333333333333,0.02655133392757009,3
spambase,self_training_xgboost,50,0.48815426997245187,0.0,3,1772.0,0.0,3,3.4989666666666666,0.909152887766042,3
spambase,self_training_xgboost,100,0.488268156424581,0.0,3,1748.0,0.0,3,5.934733333333334,0.9632587208706361,3
spambase,self_training_xgboost,250,0.4880466472303207,0.0,3,1674.0,0.0,3,6.973199999999999,0.6980509078856649,3
spambase,self_training_xgboost,500,0.48805031446540886,0.0,3,1552.0,0.0,3,7.934866666666667,0.7142270810696923,3
steel-plates-fault,rpl_lite_xgboost,50,0.45783399911229467,0.026766743181757112,3,687.6666666666666,40.203648258999245,3,17.878566666666668,2.319379926474602,3
steel-plates-fault,rpl_lite_xgboost,100,0.4889807162534436,0.0,3,710.0,0.0,3,19.1377,2.6615347846684263,3
steel-plates-fault,rpl_lite_xgboost,250,0.489247311827957,0.0,3,637.0,0.0,3,24.801299999999998,1.5304567390161674,3
steel-plates-fault,rpl_lite_xgboost,500,0.4895437262357414,0.0,3,515.0,0.0,3,32.524233333333335,1.39275655206979,3
steel-plates-fault,rpl_lr,50,,,0,,,0,0.23586666666666667,0.05651418700939909,3
steel-plates-fault,rpl_lr,100,,,0,,,0,0.3049,0.07284071663568392,3
steel-plates-fault,rpl_lr,250,,,0,,,0,0.46866666666666673,0.13063725859544564,3
steel-plates-fault,rpl_lr,500,,,0,,,0,0.6562333333333333,0.5344782253126252,3
steel-plates-fault,self_training_catboost,50,0.0,0.0,3,0.0,0.0,3,2.3082,0.052315676426860656,3
steel-plates-fault,self_training_catboost,100,0.0,0.0,3,0.0,0.0,3,3.8881333333333337,0.36099929824493204,3
steel-plates-fault,self_training_catboost,250,0.0,0.0,3,0.0,0.0,3,7.637066666666667,1.1368972703517826,3
steel-plates-fault,self_training_catboost,500,0.14733840304182508,0.005703422053231964,3,155.0,6.0,3,18.4031,0.9112303495823677,3
steel-plates-fault,self_training_lightgbm,50,0.0,0.0,3,0.0,0.0,3,1.7143333333333333,0.16505182014547215,3
