dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
letter,6,logistic_regression,100,0.5226666666666667,0.019125136165092604,3,0.5212372188139374,0.019491421586683853,3,0.5197335228666767,0.02239767981175063,3,0.5197335228666767,0.02239767981175063,3,0.9046392355736693,0.008187189274222788,3,,,0,1.858392874399821,0.05117007558137371,3,1.0173333333333334,0.18845918214120888,3,,,0,,,0,3,3,0,1.0,True
letter,6,logistic_regression,250,0.5979166666666668,0.01700428867472356,3,0.5960283488795813,0.01626461751357423,3,0.5964352031130088,0.01828099328153979,3,0.5964352031130088,0.01828099328153979,3,0.936292189613381,0.005352219881209744,3,,,0,1.5486012697219849,0.04994498016943986,3,0.7041000000000001,0.17024473560142764,3,,,0,,,0,3,3,0,1.0,True
letter,6,logistic_regression,500,0.6660833333333334,0.015145819005036757,3,0.6645785928279603,0.015214078830084918,3,0.6641184795311936,0.013785592533175838,3,0.6641184795311936,0.013785592533175838,3,0.9564461636638715,0.0038894078920965313,3,,,0,1.2721442778905232,0.039975274252728704,3,1.1639666666666668,0.5437155536981937,3,,,0,,,0,3,3,0,1.0,True
letter,6,mlp,50,0.057083333333333326,0.027550332726363456,3,0.05711672925428687,0.027500099024144794,3,0.030629503762982832,0.011834506793896618,3,0.030629503762982832,0.011834506793896618,3,0.5659396343513842,0.125404402106478,3,,,0,3.2503448327382407,0.11167128410629948,3,0.781,0.08081837662314179,3,,,0,,,0,3,3,0,1.0,True
letter,6,mlp,100,0.10191666666666666,0.07047886799128751,3,0.1015083757751871,0.07039657574683865,3,0.07110640953590826,0.061018576795508386,3,0.07110640953590826,0.061018576795508386,3,0.6339086969766713,0.14339563034400948,3,,,0,3.1754039923350015,0.14097693906029443,3,1.8693333333333335,0.3232723980381458,3,,,0,,,0,3,3,0,1.0,True
letter,6,mlp,250,0.20775,0.11962519592460444,3,0.20731188818311183,0.1187222309515456,3,0.16371624668784096,0.12028687944468565,3,0.16371624668784096,0.12028687944468565,3,0.7807510006832153,0.06004899556833884,3,,,0,2.88692839940389,0.2787571926846451,3,2.296533333333333,0.7814935977558186,3,,,0,,,0,3,3,0,1.0,True
letter,6,mlp,500,0.5650833333333333,0.029341026453301448,3,0.5638355723670828,0.02921972837048594,3,0.5540067465348592,0.034694150939363025,3,0.5540067465348592,0.034694150939363025,3,0.9384339424810731,0.0043765746547039545,3,,,0,1.6022514899571736,0.16066343030492775,3,3.8721666666666668,0.5668349877462868,3,,,0,,,0,3,3,0,1.0,True
letter,6,random_forest,50,0.3130833333333333,0.025105195345452566,3,0.31161215427651356,0.026756685195569726,3,0.27803536356090724,0.03544998861041066,3,0.27803536356090724,0.03544998861041066,3,0.8112252366268007,0.027122483446854896,3,,,0,3.4316336601612245,0.4840888578600115,3,5.3922,2.1736509126352375,3,,,0,,,0,3,3,0,1.0,True
letter,6,random_forest,100,0.5215833333333334,0.006756170019569777,3,0.5205650737380448,0.0069274826754385415,3,0.5188428726600158,0.009435518748391084,3,0.5188428726600158,0.009435518748391084,3,0.90020889099975,0.009369206369718629,3,,,0,2.289002996578932,0.09276874830860075,3,3.4293333333333336,1.0827708175478936,3,,,0,,,0,3,3,0,1.0,True
letter,6,random_forest,250,0.6269166666666667,0.021131039570578006,3,0.626059504613258,0.020909800420576195,3,0.6242981015024858,0.0219446826293703,3,0.6242981015024858,0.0219446826293703,3,0.9344939065432359,0.007149938008300078,3,,,0,1.9383937821358936,0.1639497790425165,3,5.367366666666666,0.8761666184769499,3,,,0,,,0,3,3,0,1.0,True
letter,6,random_forest,500,0.7278333333333333,0.011514483632943927,3,0.7269478079422216,0.011644789229198843,3,0.7271055063331269,0.012188940962979077,3,0.7271055063331269,0.012188940962979077,3,0.9640587201800092,0.0030242019375647466,3,,,0,1.3614721997157513,0.07002589684514873,3,3.5497,1.709191443343899,3,,,0,,,0,3,3,0,1.0,True
letter,6,rpl_lite_xgboost,50,0.23208333333333334,0.021507750540987147,3,0.230113142154738,0.0228377000943355,3,0.1696868579247742,0.022162470742699874,3,0.1696868579247742,0.022162470742699874,3,0.696859587273685,0.03441685535855108,3,,,0,3.3987335364023843,0.3414942603239486,3,27.89603333333333,1.2394032851874057,3,1402.0,521.486337309042,3,0.08789968652037612,0.032695068169845916,3,3,3,0,1.0,True
letter,6,rpl_lite_xgboost,100,0.4681666666666667,0.016233324777547367,3,0.4674417354243257,0.01566571531635706,3,0.45854074493798613,0.01755019435981264,3,0.45854074493798613,0.01755019435981264,3,0.8471436299583006,0.007943324202945468,3,,,0,2.5300281842549643,0.13434614294901054,3,68.90626666666667,50.640515518933384,3,4292.333333333333,161.0910715506396,3,0.26995807127882593,0.01013151393400252,3,3,3,0,1.0,True
letter,6,rpl_lite_xgboost,250,0.6049166666666667,0.014580237766694128,3,0.6040275894293273,0.014993146975613483,3,0.6026908357395614,0.01736563884543549,3,0.6026908357395614,0.01736563884543549,3,0.916460534746944,0.00622028929253652,3,,,0,1.8081445296605427,0.05536085720826864,3,50.93453333333333,1.0968767220309419,3,6000.0,0.0,3,0.3809523809523809,0.0,3,3,3,0,1.0,True
